3MINDIA,SALE,dp3, 0.0
AAVAS,SALE,d2e, 1.99
ABCAPITAL,SALE,d2e, 5.8
ABFRL,SALE,d2e, 1.19
ADANIGREEN,SALE,d2e, 13.26
ADANIPORTS,SALE,d2e, 1.11
ADANIPOWER,SALE,icr, 1.12
ADANITRANS,SALE,d2e, 4.34
ALBK,SALE,d2e, 24.84
ANDHRABANK,SALE,d2e, 17.48
APARINDS,SALE,icr, 2.17
ASHOKA,SALE,d2e, 20.88
ASTRAL,SALE,dp3, 4.45
ASTRAZEN,SALE,dp3, 0.0
AUBANK,SALE,d2e, 9.52
AXISBANK,SALE,d2e, 10.52
BAJAJCON,SALE,pledge, 60.72
BAJAJELEC,SALE,d2e, 1.47
BAJAJFINSV,SALE,d2e, 4.2
BAJFINANCE,SALE,d2e, 4.41
BALMLAWRIE,SALE,sales5, -7.54
BANDHANBNK,SALE,d2e, 3.91
BANKBARODA,SALE,d2e, 14.7
BANKINDIA,SALE,d2e, 13.56
BAYERCROP,SALE,sales5, -3.37
BBTC,SALE,dp3, 1.65
BHARTIARTL,SALE,d2e, 1.75
BHEL,SALE,roce3, 5.42
BLUEDART,SALE,profit5, -6.53
BOMDYEING,SALE,d2e, 21.5
CANBK,SALE,d2e, 16.99
CANFINHOME,SALE,d2e, 9.37
CENTRALBK,SALE,d2e, 16.11
CENTRUM,SALE,icr, -0.79
CGPOWER,SALE,d2e, 1.25
CHALET,SALE,d2e, 1.01
CHAMBLFERT,SALE,d2e, 2.63
CHENNPETRO,SALE,d2e, 1.59
CHOLAFIN,SALE,d2e, 8.19
CHOLAHLDNG,SALE,d2e, 12.79
COFFEEDAY,SALE,d2e, 2.59
CORPBANK,SALE,d2e, 11.65
CREDITACC,SALE,d2e, 2.06
CUB,SALE,d2e, 8.04
DBCORP,SALE,profit5, -2.21
DBL,SALE,d2e, 1.12
DCAL,SALE,dp3, 0.51
DCBBANK,SALE,d2e, 10.0
DEEPAKFERT,SALE,d2e, 1.45
DHFL,SALE,d2e, 11.57
DISHTV,SALE,icr, 1.04
DMART,SALE,dp3, 0.0
ECLERX,SALE,dp3, 1.36
EDELWEISS,SALE,d2e, 6.06
EIDPARRY,SALE,d2e, 1.64
EMAMILTD,SALE,profit5, -5.74
ENGINERSIN,SALE,profit5, -3.98
EQUITAS,SALE,d2e, 5.24
ERIS,SALE,dp3, 0.0
EVEREADY,SALE,d2e, 1.02
FEDERALBNK,SALE,d2e, 10.75
FORTIS,SALE,icr, 1.78
GAYAPROJ,SALE,d2e, 1.41
GEPIL,SALE,sales5, -6.09
GET&D,SALE,dp3, -3.14
GICHSGFIN,SALE,d2e, 9.3
GLAXO,SALE,profit5, -2.69
GMDCLTD,SALE,profit5, -5.47
GMRINFRA,SALE,icr, 0.59
GODREJIND,SALE,d2e, 1.66
GODREJPROP,SALE,d2e, 1.42
GRASIM,SALE,d2e, 1.47
GRUH,SALE,d2e, 8.73
GSKCONS,SALE,sales5, -0.36
GUJGASLTD,SALE,d2e, 1.01
HDFC,SALE,d2e, 3.46
HDFCBANK,SALE,d2e, 6.97
HFCL,SALE,dp3, 3.91
HIMATSEIDE,SALE,d2e, 1.96
HSCL,SALE,dp3, 2.97
HUDCO,SALE,d2e, 5.46
IBREALEST,SALE,d2e, 1.5
IBULHSGFIN,SALE,d2e, 6.42
IBULISL,SALE,icr, -1.12
IBVENTURES,SALE,d2e, 1.28
ICICIBANK,SALE,d2e, 7.8
ICICIPRULI,SALE,profit5, -6.1
IDBI,SALE,d2e, 7.25
IDEA,SALE,d2e, 2.11
IDFC,SALE,icr, -144.01
IDFCFIRSTB,SALE,d2e, 7.74
IFBIND,SALE,dp3, 0.0
IFCI,SALE,d2e, 3.81
INDIANB,SALE,d2e, 13.11
INDIGO,SALE,icr, 2.5
INDOSTAR,SALE,d2e, 2.97
INDUSINDBK,SALE,d2e, 9.08
INFIBEAM,SALE,dp3, 1.72
INFRATEL,SALE,icr, -9.78
INTELLECT,SALE,dp3, 0.0
IOB,SALE,d2e, 13.98
IRB,SALE,d2e, 2.63
J&KBANK,SALE,d2e, 13.92
JAICORPLTD,SALE,icr, 2.21
JCHAC,SALE,dp3, 4.61
JETAIRWAYS,SALE,icr, -3.36
JINDALSTEL,SALE,d2e, 1.22
JISLJALEQS,SALE,d2e, 1.19
JKLAKSHMI,SALE,d2e, 1.06
JKTYRE,SALE,d2e, 2.52
JMFINANCIL,SALE,d2e, 2.73
JPASSOCIAT,SALE,d2e, 27.82
JSL,SALE,d2e, 1.08
JSLHISAR,SALE,d2e, 1.44
JSWHL,SALE,dp3, 0.0
JSWSTEEL,SALE,d2e, 1.36
JUBILANT,SALE,d2e, 1.01
JUSTDIAL,SALE,dp3, 0.0
KNRCON,SALE,dp3, 2.89
KOTAKBANK,SALE,d2e, 5.0
KPRMILL,SALE,dp3, 1.82
KTKBANK,SALE,d2e, 12.41
L&TFH,SALE,d2e, 6.8
LEMONTREE,SALE,d2e, 1.37
LICHSGFIN,SALE,d2e, 10.85
LINDEINDIA,SALE,icr, 2.23
LT,SALE,d2e, 1.97
M&MFIN,SALE,d2e, 4.84
MAGMA,SALE,d2e, 4.79
MAHABANK,SALE,d2e, 26.27
MAHINDCIE,SALE,dp3, 0.0
MAHSCOOTER,SALE,roce3, 0.72
MANAPPURAM,SALE,d2e, 3.38
MASFIN,SALE,d2e, 2.46
MAXINDIA,SALE,icr, -1.61
MFSL,SALE,dp3, 0.0
MHRIL,SALE,profit5, -7.08
MOIL,SALE,profit5, -1.44
MOTHERSUMI,SALE,d2e, 1.05
MOTILALOFS,SALE,d2e, 1.68
MRF,SALE,dp3, 2.13
MUTHOOTFIN,SALE,d2e, 1.99
NAUKRI,SALE,dp3, -68.37
NETWORK18,SALE,d2e, 3.76
NIACL,SALE,roce3, -2.45
NLCINDIA,SALE,d2e, 1.05
NTPC,SALE,d2e, 1.33
OMAXE,SALE,d2e, 1.15
ORIENTBANK,SALE,d2e, 13.06
ORIENTCEM,SALE,d2e, 1.22
PEL,SALE,d2e, 2.34
PFC,SALE,d2e, 6.82
PHOENIXLTD,SALE,d2e, 1.22
PNB,SALE,d2e, 15.97
PNBHOUSING,SALE,d2e, 9.66
POLYCAB,SALE,dp3, 4.84
POWERGRID,SALE,d2e, 2.48
PRESTIGE,SALE,d2e, 2.01
PRSMJOHNSN,SALE,d2e, 1.29
PTC,SALE,d2e, 3.36
PVR,SALE,d2e, 1.03
RAIN,SALE,d2e, 1.54
RAYMOND,SALE,d2e, 1.26
RBLBANK,SALE,d2e, 9.3
RCF,SALE,d2e, 1.14
RCOM,SALE,icr, -18.03
RECLTD,SALE,d2e, 7.12
RELCAPITAL,SALE,icr, 0.91
RELINFRA,SALE,d2e, 1.25
REPCOHOME,SALE,d2e, 6.07
RPOWER,SALE,d2e, 1.75
SADBHAV,SALE,d2e, 13.34
SAIL,SALE,d2e, 1.18
SBIN,SALE,d2e, 14.3
SCHNEIDER,SALE,d2e, 2.52
SFL,SALE,dp3, 0.0
SHANKARA,SALE,icr, 1.52
SHOPERSTOP,SALE,icr, 2.99
SHRIRAMCIT,SALE,d2e, 3.53
SOBHA,SALE,d2e, 1.17
SOUTHBANK,SALE,d2e, 15.99
SPARC,SALE,icr, -264.36
SPICEJET,SALE,icr, 0.93
SREINFRA,SALE,d2e, 8.08
SRTRANSFIN,SALE,d2e, 5.55
STAR,SALE,d2e, 1.22
STARCEMENT,SALE,dp3, 4.23
STRTECH,SALE,d2e, 1.2
SUNPHARMA,SALE,profit5, -5.96
SUVEN,SALE,profit5, -1.18
SUZLON,SALE,icr, -0.06
SWANENERGY,SALE,d2e, 1.17
TATACHEM,SALE,sales5, -6.59
TATAINVEST,SALE,roce3, 3.47
TATAMOTORS,SALE,d2e, 1.76
TATAPOWER,SALE,d2e, 2.9
TATASTEEL,SALE,d2e, 1.51
TCNSBRANDS,SALE,dp3, 0.0
TEAMLEASE,SALE,dp3, 0.0
TEJASNET,SALE,dp3, 2.15
THOMASCOOK,SALE,icr, 1.4
TNPL,SALE,d2e, 1.19
TORNTPHARM,SALE,d2e, 1.28
TORNTPOWER,SALE,d2e, 1.08
TV18BRDCST,SALE,icr, 2.62
UCOBANK,SALE,d2e, 14.95
UFLEX,SALE,icr, 2.87
UJJIVAN,SALE,d2e, 6.31
UNIONBANK,SALE,d2e, 17.32
UNITEDBNK,SALE,d2e, 11.93
UPL,SALE,d2e, 1.99
VBL,SALE,d2e, 1.3
VEDL,SALE,d2e, 1.06
VMART,SALE,dp3, 4.94
VTL,SALE,profit5, -1.09
WELCORP,SALE,icr, 2.01
WELSPUNIND,SALE,d2e, 1.19
WESTLIFE,SALE,icr, 1.75
WOCKPHARMA,SALE,d2e, 1.08
YESBANK,SALE,d2e, 12.49
ZEEL,SALE,pledge, 63.98
